time,true_strain,true_stress
0,0,0
1,-0.010193943,-0.016368245
2.3333333,-0.023986047,-0.086619391
3.3333333,-0.034109484,-0.13774342
4.3333333,-0.044201203,-0.18558327
5.3333333,-0.054353484,-0.234068
6.6666667,-0.067552406,-0.296927
7.6666667,-0.077657297,-0.34157133
8.6666667,-0.087718688,-0.38369
9.6666667,-0.095724781,-0.41020975
11,-0.099530125,-0.40558991
12,-0.099636109,-0.40188313
13,-0.099629266,-0.40188588
14.333333,-0.099619,-0.40189
15.333333,-0.099619,-0.40189
16.333333,-0.099625844,-0.40188725
17.333333,-0.099636109,-0.40188313
18.666667,-0.099612156,-0.40189275
19.666667,-0.099608734,-0.40189413
20.666667,-0.099619,-0.40189
21.666667,-0.099625844,-0.40188725
23,-0.099646375,-0.39873922
24,-0.099632688,-0.39874472
25,-0.099619,-0.4013667
26,-0.099619,-0.4013667
27.333333,-0.099608734,-0.39718445
28.333333,-0.099605313,-0.39352275
29.333333,-0.099629266,-0.39298983
30.666667,-0.099632688,-0.39717483
31.666667,-0.099642953,-0.3971707
32.666667,-0.099639531,-0.39769538
33.666667,-0.099622422,-0.40031873
35,-0.099619,-0.4013667
36,-0.099619,-0.39927352
37,-0.099619,-0.4013667
38,-0.099625844,-0.40136395
39.333333,-0.099639531,-0.39926539
40.333333,-0.099653219,-0.3976905
41.333333,-0.099653219,-0.39559731
42.666667,-0.099622422,-0.40084203
43.666667,-0.099622422,-0.40345864
44.666667,-0.099636109,-0.40188375
45.666667,-0.099649797,-0.39612198
47,-0.099636109,-0.38984719
48,-0.099601891,-0.38096434
49,-0.099598469,-0.3841055
50,-0.099615578,-0.39351852
51.333333,-0.099619,-0.39037747
52.333333,-0.099619,-0.38985417
53.333333,-0.099615578,-0.38985555
54.666667,-0.099608734,-0.38828841
55.666667,-0.099622422,-0.3898528
56.666667,-0.099639531,-0.39141581
57.666667,-0.099639531,-0.38932263
59,-0.099622422,-0.39089939
60,-0.099619,-0.39247066
61,-0.099629266,-0.39037359
62,-0.099666906,-0.39088214
63.333333,-0.099663484,-0.38722006
64.333333,-0.099653219,-0.38774723
65.333333,-0.099649797,-0.39088839
66.666667,-0.099622422,-0.38618972
67.666667,-0.099619,-0.39037747
68.666667,-0.099619,-0.39665703
69.666667,-0.099619,-0.39718033
71,-0.099629266,-0.39455972
72,-0.099636109,-0.39351038
73,-0.099625844,-0.39717758
74,-0.099625844,-0.39822442
75.333333,-0.099636109,-0.39508089
76.333333,-0.099625844,-0.39456134
77.333333,-0.099619,-0.39508714
78.333333,-0.099636109,-0.39508027
79.666667,-0.099663484,-0.39088289
80.666667,-0.099649797,-0.38774861
81.666667,-0.099642953,-0.39193773
83,-0.099608734,-0.39299808
84,-0.099574516,-0.38882545
85,-0.099574516,-0.38934875
86,-0.099605313,-0.39090627
87.333333,-0.099619,-0.39194736
88.333333,-0.099619,-0.38933088
89.333333,-0.099619,-0.39090077
90.333333,-0.099619,-0.39090077
91.666667,-0.099619,-0.37834164
92.666667,-0.099619,-0.37624845
93.666667,-0.099619,-0.38252802
95,-0.099601891,-0.3856748
96,-0.099619,-0.38514525
97,-0.099629266,-0.38409431
98,-0.099615578,-0.38462253
99.333333,-0.099632688,-0.38356952
100.33333,-0.099639531,-0.38618297
101.33333,-0.099642953,-0.39141469
102.33333,-0.099646375,-0.39089052
103.66667,-0.099653219,-0.39193398
104.66667,-0.099632688,-0.38775527
105.66667,-0.099612156,-0.37729753
107,-0.099625844,-0.37781591
108,-0.099642953,-0.3856583
109,-0.09967375,-0.38983217
110,-0.099656641,-0.38931575
111.33333,-0.099619,-0.38619109
112.33333,-0.099619,-0.3856678
113.33333,-0.099619,-0.3856678
114.33333,-0.099619,-0.3856678
115.66667,-0.099619,-0.39037747
116.66667,-0.099619,-0.39194736
117.66667,-0.099625844,-0.38671189
119,-0.099646375,-0.38251802
120,-0.099646375,-0.38932038
121,-0.099646375,-0.39559944
122,-0.099632688,-0.39665153
123.33333,-0.099636109,-0.39298708
124.33333,-0.099639531,-0.39089264
125.33333,-0.099646375,-0.39036734
126.33333,-0.099656641,-0.38670064
127.66667,-0.099642953,-0.39036822
128.66667,-0.099656641,-0.39454872
129.66667,-0.099649797,-0.39298158
130.66667,-0.099639531,-0.39507889
132,-0.099642953,-0.39036797
133,-0.099642953,-0.38356573
134,-0.099639531,-0.38670689
135.33333,-0.099615578,-0.39247203
136.33333,-0.099601891,-0.3971872
137.33333,-0.099601891,-0.39928039
138.33333,-0.099605313,-0.39195253
139.66667,-0.099584781,-0.38201781
140.66667,-0.099591625,-0.38358539
141.66667,-0.099612156,-0.38410066
142.66667,-0.099619,-0.38095812
144,-0.099629266,-0.38357048
145,-0.099622422,-0.38828291
146,-0.099639531,-0.38461333
147.33333,-0.099666906,-0.38198609
148.33333,-0.099656641,-0.38565305
149.33333,-0.099660063,-0.38879208
150.33333,-0.099653219,-0.3846087
151.66667,-0.099629266,-0.376768
152.66667,-0.099619,-0.38148142
153.66667,-0.099619,-0.3846212
154.66667,-0.099619,-0.37677175
156,-0.099598469,-0.37416352
157,-0.099612156,-0.37939098
158,-0.099642953,-0.3809485
159.33333,-0.099629266,-0.37729112
160.33333,-0.099622422,-0.37677059
161.33333,-0.099601891,-0.37677811
162.33333,-0.099595047,-0.37521072
163.66667,-0.099622422,-0.38043359
164.66667,-0.099642953,-0.38147267
165.66667,-0.099646375,-0.38304131
166.66667,-0.099639531,-0.38252052
168,-0.099653219,-0.37832889
169,-0.099656641,-0.38251364
170,-0.099632688,-0.38618572
171.33333,-0.099639531,-0.38670689
172.33333,-0.099660063,-0.3887922
